"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Sep 11 18:40:40 UTC 2026","Fri Sep 11 18:40:41 UTC 2026","928","","tests.LoginTest","","tests.LoginTest","lockedOutUserShouldNotBeAbleToLogin","Zárolt felhasználó ellenőrzése.",""
"passed","Fri Sep 11 18:39:30 UTC 2026","Fri Sep 11 18:39:33 UTC 2026","2860","","tests.InventoryTest","","tests.InventoryTest","checkACSReverseSort","Leellenőrizzük, hogy az ABC csökkenő sorrend jó-e.",""
"passed","Fri Sep 11 18:38:42 UTC 2026","Fri Sep 11 18:38:43 UTC 2026","1030","","tests.LoginLockoutTest","","tests.LoginLockoutTest","testLockedOutUserLogin","Kizárt felhasználó (locked_out_user) bejelentkezési hibaüzenetének ellenőrzése",""
"passed","Fri Sep 11 18:40:38 UTC 2026","Fri Sep 11 18:40:39 UTC 2026","944","","tests.LoginTest","","tests.LoginTest","tryToLoginWithOnlyPassword","Csak jelszóval törtéső belépési kísérlet.",""
"passed","Fri Sep 11 18:40:19 UTC 2026","Fri Sep 11 18:40:22 UTC 2026","2673","","tests.LoginTest","","tests.LoginTest","succesfulLoginWithAllUsernamesAndPws","Összes felhasználónév ellenőrzése. [2] problem_user",""
"passed","Fri Sep 11 18:39:13 UTC 2026","Fri Sep 11 18:39:16 UTC 2026","2746","","tests.InventoryTest","","tests.InventoryTest","checkThePriceOfItems","Leellenőrizzük az összes termék árát. [3] Sauce Labs Bolt T-Shirt, 15.99",""
"passed","Fri Sep 11 18:40:32 UTC 2026","Fri Sep 11 18:40:35 UTC 2026","2687","","tests.LoginTest","","tests.LoginTest","succesfulLoginWithAllUsernamesAndPws","Összes felhasználónév ellenőrzése. [5] visual_user",""
"passed","Fri Sep 11 18:39:02 UTC 2026","Fri Sep 11 18:39:05 UTC 2026","2815","","tests.InventoryTest","","tests.InventoryTest","checkRemoveBtn","Leellenőrizzük, hogy az összes terméknél megjelenik-e a Remove gomb. [5] Sauce Labs Onesie",""
"passed","Fri Sep 11 18:38:36 UTC 2026","Fri Sep 11 18:38:42 UTC 2026","5324","","tests.CheckoutValidationTest","","tests.CheckoutValidationTest","testCheckoutWithMissingPostalCode","Checkout hibaüzenet ellenőrzése hiányzó irányítószám esetén",""
"passed","Fri Sep 11 18:39:19 UTC 2026","Fri Sep 11 18:39:22 UTC 2026","2749","","tests.InventoryTest","","tests.InventoryTest","checkThePriceOfItems","Leellenőrizzük az összes termék árát. [5] Sauce Labs Onesie, 7.99",""
"passed","Fri Sep 11 18:38:44 UTC 2026","Fri Sep 11 18:38:47 UTC 2026","3361","","tests.InventoryE2ETest","","tests.InventoryE2ETest","checkoutWithEmptyCart","Üres kosárral is befejezhető a rendelési folyamat – standard_user",""
"passed","Fri Sep 11 18:40:15 UTC 2026","Fri Sep 11 18:40:16 UTC 2026","981","","tests.LoginTest","","tests.LoginTest","loginWithProvider","Bejelentkezések ellenőrzése UserDataProvider segítségével. [6] locked_out_user, secret_sauce, Epic sadface: Sorry, this user has been locked out., false",""
"passed","Fri Sep 11 18:38:47 UTC 2026","Fri Sep 11 18:38:51 UTC 2026","3509","","tests.InventoryE2ETest","","tests.InventoryE2ETest","checkPricesOnThreePages","Két termék ára minden rendelési oldalon megegyezik – standard_user",""
"passed","Fri Sep 11 18:40:12 UTC 2026","Fri Sep 11 18:40:15 UTC 2026","2659","","tests.LoginTest","","tests.LoginTest","loginWithProvider","Bejelentkezések ellenőrzése UserDataProvider segítségével. [5] visual_user, secret_sauce, https://www.saucedemo.com/inventory.html, true",""
"passed","Fri Sep 11 18:39:53 UTC 2026","Fri Sep 11 18:39:56 UTC 2026","2990","","tests.InventoryTest","","tests.InventoryTest","checkHighToLowSort","Leellenőrizzük, hogy az ár szerinti csökkenő sorrend jó-e.",""
"passed","Fri Sep 11 18:40:36 UTC 2026","Fri Sep 11 18:40:37 UTC 2026","995","","tests.LoginTest","","tests.LoginTest","tryToLoginWithIncorrectPassword","Hibás jelszóval történő belépés.",""
"passed","Fri Sep 11 18:39:56 UTC 2026","Fri Sep 11 18:39:59 UTC 2026","2616","","tests.LoginTest","","tests.LoginTest","loginWithProvider","Bejelentkezések ellenőrzése UserDataProvider segítségével. [1] standard_user, secret_sauce, https://www.saucedemo.com/inventory.html, true",""
"passed","Fri Sep 11 18:39:59 UTC 2026","Fri Sep 11 18:40:02 UTC 2026","2692","","tests.LoginTest","","tests.LoginTest","loginWithProvider","Bejelentkezések ellenőrzése UserDataProvider segítségével. [2] problem_user, secret_sauce, https://www.saucedemo.com/inventory.html, true",""
"passed","Fri Sep 11 18:39:22 UTC 2026","Fri Sep 11 18:39:24 UTC 2026","2737","","tests.InventoryTest","","tests.InventoryTest","checkThePriceOfItems","Leellenőrizzük az összes termék árát. [6] Test.allTheThings() T-Shirt (Red), 15.99",""
"passed","Fri Sep 11 18:39:27 UTC 2026","Fri Sep 11 18:39:30 UTC 2026","2844","","tests.InventoryTest","","tests.InventoryTest","checkShoppingCartBadgeNumber","Ellenőrizzük, hogy a kosárba helyezett elemek darabszáma ugyanannyi-e, mint a kosár ikonon lévők.",""
"passed","Fri Sep 11 18:40:45 UTC 2026","Fri Sep 11 18:40:46 UTC 2026","1624","","tests.CheckoutWorkflowTest","","tests.CheckoutWorkflowTest","testSuccessfulCheckoutProcess","Sikeres checkout folyamat tesztelése érvényes adatokkal",""
"passed","Fri Sep 11 18:39:36 UTC 2026","Fri Sep 11 18:39:39 UTC 2026","2966","","tests.InventoryTest","","tests.InventoryTest","checkCartBadgeNumber","Leellenőrizzük, hogy a kosár üres-e a bejelentkezéskor.",""
"passed","Fri Sep 11 18:38:51 UTC 2026","Fri Sep 11 18:38:54 UTC 2026","2780","","tests.InventoryTest","","tests.InventoryTest","checkRemoveBtn","Leellenőrizzük, hogy az összes terméknél megjelenik-e a Remove gomb. [1] Sauce Labs Backpack",""
"passed","Fri Sep 11 18:38:54 UTC 2026","Fri Sep 11 18:38:57 UTC 2026","2810","","tests.InventoryTest","","tests.InventoryTest","checkRemoveBtn","Leellenőrizzük, hogy az összes terméknél megjelenik-e a Remove gomb. [2] Sauce Labs Bike Light",""
"passed","Fri Sep 11 18:39:11 UTC 2026","Fri Sep 11 18:39:13 UTC 2026","2741","","tests.InventoryTest","","tests.InventoryTest","checkThePriceOfItems","Leellenőrizzük az összes termék árát. [2] Sauce Labs Bike Light, 9.99",""
"passed","Fri Sep 11 18:39:05 UTC 2026","Fri Sep 11 18:39:08 UTC 2026","2837","","tests.InventoryTest","","tests.InventoryTest","checkRemoveBtn","Leellenőrizzük, hogy az összes terméknél megjelenik-e a Remove gomb. [6] Test.allTheThings() T-Shirt (Red)",""
"passed","Fri Sep 11 18:39:42 UTC 2026","Fri Sep 11 18:39:45 UTC 2026","2915","","tests.InventoryTest","","tests.InventoryTest","mostExpensiveItem","Legdrágább elem megkeresése.",""
"passed","Fri Sep 11 18:40:37 UTC 2026","Fri Sep 11 18:40:38 UTC 2026","791","","tests.LoginTest","","tests.LoginTest","checkLockedOutUserLoginErrorMessage","Lecsekkoljuk, hogy betöltödik-e az inventory oldal, ha nem vagyunk belépve.",""
"passed","Fri Sep 11 18:40:16 UTC 2026","Fri Sep 11 18:40:17 UTC 2026","966","","tests.LoginTest","","tests.LoginTest","tryToLoginWithIncorrectUsername","Hibás felhasználónévvel történő belépés.",""
"passed","Fri Sep 11 18:39:45 UTC 2026","Fri Sep 11 18:39:47 UTC 2026","2825","","tests.InventoryTest","","tests.InventoryTest","shouldDisplayAddToCartButtonForAllItems","Minden termékhez tartozik-e kosárhoz hozzáadás gomb.",""
"passed","Fri Sep 11 18:40:41 UTC 2026","Fri Sep 11 18:40:43 UTC 2026","1299","","tests.InventorySortingTest","","tests.InventorySortingTest","testSortProductsByPriceLowToHigh","Termékek rendezése ár szerint növevő sorrendben (Low to High)",""
"passed","Fri Sep 11 18:39:50 UTC 2026","Fri Sep 11 18:39:53 UTC 2026","3006","","tests.InventoryTest","","tests.InventoryTest","checkLowToHighSort","Leellenőrizzük, hogy az árszerint növekvő sorrend jó-e.",""
"passed","Fri Sep 11 18:38:57 UTC 2026","Fri Sep 11 18:38:59 UTC 2026","2824","","tests.InventoryTest","","tests.InventoryTest","checkRemoveBtn","Leellenőrizzük, hogy az összes terméknél megjelenik-e a Remove gomb. [3] Sauce Labs Bolt T-Shirt",""
